Freq: 1050, Voltage: 0.8500000000000003, Output: Invalid, Power: 0.08432646633910713
Freq: 1050, Voltage: 0.9000000000000004, Output: Invalid, Power: 0.09581858658800001
Freq: 1050, Voltage: 0.9500000000000004, Output: Invalid, Power: 0.11184963926092858
Freq: 1050, Voltage: 1.0000000000000004, Output: Invalid, Power: 0.12209490646339285
Freq: 1050, Voltage: 1.05, Output: Valid, Power: 0.1678874414105
Freq: 1050, Voltage: 1.1, Output: Valid, Power: 0.18653070654675002
Freq: 1050, Voltage: 1.1500000000000001, Output: Valid, Power: 0.20691119987849999
Freq: 1050, Voltage: 1.2000000000000002, Output: Valid, Power: 0.228916143723
Freq: 1050, Voltage: 1.25, Output: Valid, Power: 0.24721543020800002
Freq: 1050, Voltage: 1.3, Output: Valid, Power: 0.27128187736775
Freq: 1050, Voltage: 1.35, Output: Valid, Power: 0.29646319442999997
Freq: 1100, Voltage: 0.55, Output: Invalid, Power: 0.004806235851875
Freq: 1100, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.007435886750535714
Freq: 1100, Voltage: 0.6500000000000001, Output: Invalid, Power: 0.006473013982105263
Freq: 1100, Voltage: 0.7000000000000002, Output: Invalid, Power: 0.00963910729892857
Freq: 1100, Voltage: 0.7500000000000002, Output: Invalid, Power: 0.04306502071
Freq: 1100, Voltage: 0.8000000000000003, Output: Invalid, Power: 0.07683032157192857
Freq: 1100, Voltage: 0.8500000000000003, Output: Invalid, Power: 0.08432646633910713
Freq: 1100, Voltage: 0.9000000000000004, Output: Invalid, Power: 0.09581858658800001
Freq: 1100, Voltage: 0.9500000000000004, Output: Invalid, Power: 0.11184963926092858
Freq: 1100, Voltage: 1.0000000000000004, Output: Invalid, Power: 0.12209490646339285
Freq: 1100, Voltage: 1.05, Output: Invalid, Power: 0.1702821097895
Freq: 1100, Voltage: 1.1, Output: Invalid, Power: 0.1898483166685
Freq: 1100, Voltage: 1.1500000000000001, Output: Valid, Power: 0.21052933251475
Freq: 1100, Voltage: 1.2000000000000002, Output: Valid, Power: 0.23296785810525
